,BiasAdjustedAbsReturn,NaiveForecast,GARCHForecast,EGARCHForecast
2024-01-02,0.11165563334658608,0.0813241442193356,0.1010678624064382,0.0982854774944699
2024-01-03,0.16314796683232463,0.0842393433779978,0.1043799113632743,0.1112546312114898
2024-01-04,0.06419046218596786,0.089046667614103,0.1149710857411279,0.1316601723875796
2024-01-05,0.027233269836140567,0.0880175395957462,0.1103098100698103,0.1320634209896201
2024-01-08,0.282020374765811,0.087475180706944,0.1029820376316459,0.1216491235980323
2024-01-09,0.030205992463706952,0.0949927548421547,0.1312117653388776,0.1185342111373474
2024-01-10,0.11220270750743856,0.0953735697965429,0.1219001662946195,0.115333512447327
2024-01-11,0.008773389521690463,0.0955945946923941,0.1172570014062926,0.1089720666112302
2024-01-12,0.013779957268083008,0.095778813562354,0.109206058330607,0.1036846144543603
2024-01-16,0.07317385166651569,0.0955635551941898,0.1019907338518549,0.0964318580465501
2024-01-17,0.1109028968480476,0.0965698654053591,0.1005011363936614,0.1029539478249063
2024-01-18,0.1761470225686028,0.0977071543585121,0.1038395388412605,0.1151166378137644
2024-01-19,0.246488804033842,0.0983090212320205,0.1110291218477078,0.1102885193156542
2024-01-22,0.042021600253287925,0.103020588125972,0.1289122466297027,0.1077410287607191
2024-01-23,0.05794364615833124,0.1014341788603514,0.1191790403948564,0.100662578724731
2024-01-24,0.021736818505604678,0.1001563712731617,0.1113564092493835,0.094784997370487
2024-01-25,0.10791916383739457,0.0999545727303327,0.1038300767684241,0.0887385082779799
2024-01-26,0.02529287586007269,0.1003180955525226,0.102054414770767,0.0853957473916844
2024-01-29,0.15693991885293979,0.1004304743434334,0.0969525837642226,0.0854094908188274
2024-01-30,0.015393882500471896,0.0957376215015815,0.1028786199777952,0.0836155408048617
2024-01-31,0.32732446833523565,0.0958434557723193,0.0972175461257639,0.0822735705932823
2024-02-01,0.2587097494258652,0.1087288240173926,0.1473695896912364,0.1477817224717252
2024-02-02,0.20835615592901557,0.1134904270147812,0.1572685774635323,0.1406799709400182
2024-02-05,0.07257651923786589,0.1158294914500405,0.1571298219201882,0.133341129770372
2024-02-06,0.05767997979330699,0.1075585811993865,0.14647287059806,0.1348532660224179
2024-02-07,0.1652509340142395,0.1051053334584363,0.1347803678792024,0.1247782038211455
2024-02-08,0.008784503802479091,0.1069552536521107,0.1335124920506492,0.1184842630886903
2024-02-09,0.1146556995287531,0.1067366073886645,0.1228890197687809,0.1094366007066812
2024-02-12,0.008736511800647589,0.1074322232110081,0.1182993716265267,0.1038492001409501
2024-02-13,0.2759284602634542,0.1075445249461715,0.110095753481436,0.0991679620621966
2024-02-14,0.1799892955279096,0.1159532098266189,0.1420277887747964,0.1456006914863422
2024-02-15,0.1368051058612559,0.1161529423285023,0.1411922412065228,0.1369462356737
2024-02-16,0.09933031403874423,0.1130748442730988,0.1355700458539435,0.1284260235797304
2024-02-20,0.10983503511392229,0.1139351108481583,0.1305820018885247,0.1349880248528051
