Date,RealizedVol,NaiveForecast
2014-12-26,0.12874813597646165,0.12868005322919007
2014-12-29,0.12875284323307662,0.12874813597646165
2014-12-30,0.13003318199545125,0.12875284323307662
2014-12-31,0.1336814999209018,0.13003318199545125
2015-01-02,0.1327200319767953,0.1336814999209018
2015-01-05,0.14298886388981621,0.1327200319767953
2015-01-06,0.14520633034678,0.14298886388981621
2015-01-07,0.14916230023795615,0.14520633034678
2015-01-08,0.15793075863418687,0.14916230023795615
2015-01-09,0.15962464821434413,0.15793075863418687
2015-01-12,0.1608681177540847,0.15962464821434413
2015-01-13,0.16093682575745688,0.1608681177540847
2015-01-14,0.16064487713863393,0.16093682575745688
2015-01-15,0.16106655646194445,0.16064487713863393
2015-01-16,0.16566782710002353,0.16106655646194445
2015-01-20,0.165887342089014,0.16566782710002353
2015-01-21,0.16659924274107013,0.165887342089014
2015-01-22,0.17132960507281805,0.16659924274107013
2015-01-23,0.17208784633217455,0.17132960507281805
2015-01-26,0.16526404115178991,0.17208784633217455
2015-01-27,0.16941727985869523,0.16526404115178991
2015-01-28,0.16686172666944155,0.16941727985869523
2015-01-29,0.167553340879656,0.16686172666944155
2015-01-30,0.17012906484158183,0.167553340879656
2015-02-02,0.1643923343767342,0.17012906484158183
2015-02-03,0.1537443561970789,0.1643923343767342
2015-02-04,0.15352524397405895,0.1537443561970789
2015-02-05,0.1558615511038227,0.15352524397405895
2015-02-06,0.1559588400781348,0.1558615511038227
2015-02-09,0.15640839472922644,0.1559588400781348
2015-02-10,0.1593695645487036,0.15640839472922644
2015-02-11,0.1593181868889189,0.1593695645487036
2015-02-12,0.16104825880530274,0.1593181868889189
2015-02-13,0.15846113509940918,0.16104825880530274
2015-02-17,0.15843830163124245,0.15846113509940918
2015-02-18,0.14791965605283638,0.15843830163124245
2015-02-19,0.14448956775602076,0.14791965605283638
2015-02-20,0.1415187928133194,0.14448956775602076
2015-02-23,0.13301111096524382,0.1415187928133194
2015-02-24,0.13040124901749112,0.13301111096524382
2015-02-25,0.12771610222790072,0.13040124901749112
2015-02-26,0.12732939367032625,0.12771610222790072
2015-02-27,0.1261918671851901,0.12732939367032625
2015-03-02,0.12261943986399056,0.1261918671851901
2015-03-03,0.11937052435608651,0.12261943986399056
2015-03-04,0.12050975795916327,0.11937052435608651
2015-03-05,0.11999452492772558,0.12050975795916327
2015-03-06,0.12084870859762616,0.11999452492772558
2015-03-09,0.12010727942219811,0.12084870859762616
2015-03-10,0.12953386758822485,0.12010727942219811
2015-03-11,0.12359036151714067,0.12953386758822485
2015-03-12,0.12205384210090368,0.12359036151714067
2015-03-13,0.1213510074531926,0.12205384210090368
2015-03-16,0.11994816643998235,0.1213510074531926
2015-03-17,0.11608955142976364,0.11994816643998235
2015-03-18,0.1138669861333809,0.11608955142976364
2015-03-19,0.114160196340009,0.1138669861333809
2015-03-20,0.11333917967955104,0.114160196340009
2015-03-23,0.113137690399744,0.11333917967955104
2015-03-24,0.11365755064669805,0.113137690399744
2015-03-25,0.11837582615698097,0.11365755064669805
2015-03-26,0.1185566172437409,0.11837582615698097
2015-03-27,0.11521539664474922,0.1185566172437409
2015-03-30,0.12015633828600474,0.11521539664474922
2015-03-31,0.12262699521224725,0.12015633828600474
2015-04-01,0.12294171325688721,0.12262699521224725
2015-04-02,0.12352712372841135,0.12294171325688721
2015-04-06,0.12387236184201936,0.12352712372841135
2015-04-07,0.1240411356457675,0.12387236184201936
2015-04-08,0.1241748717577852,0.1240411356457675
2015-04-09,0.12496577257055218,0.1241748717577852
2015-04-10,0.12602246136930823,0.12496577257055218
2015-04-13,0.12632277648116108,0.12602246136930823
2015-04-14,0.1250267607634672,0.12632277648116108
2015-04-15,0.1251974963724905,0.1250267607634672
2015-04-16,0.12455052929609493,0.1251974963724905
2015-04-17,0.12906156740295557,0.12455052929609493
2015-04-20,0.1248089872395613,0.12906156740295557
2015-04-21,0.124423656333861,0.1248089872395613
2015-04-22,0.11448523500141276,0.124423656333861
2015-04-23,0.114096897812192,0.11448523500141276
2015-04-24,0.10892692984982678,0.114096897812192
2015-04-27,0.10796240429970087,0.10892692984982678
2015-04-28,0.10172498694468908,0.10796240429970087
2015-04-29,0.10212890173299274,0.10172498694468908
2015-04-30,0.10072903865704527,0.10212890173299274
2015-05-01,0.10465202457549022,0.10072903865704527
2015-05-04,0.10186399231313481,0.10465202457549022
2015-05-05,0.10720704873785554,0.10186399231313481
2015-05-06,0.10662681508248872,0.10720704873785554
2015-05-07,0.09773551294421344,0.10662681508248872
2015-05-08,0.10385485738557519,0.09773551294421344
2015-05-11,0.10511707047930981,0.10385485738557519
2015-05-12,0.09994303030222845,0.10511707047930981
2015-05-13,0.09619320813178989,0.09994303030222845
2015-05-14,0.09941904722114442,0.09619320813178989
2015-05-15,0.0991248345456772,0.09941904722114442
2015-05-18,0.09784771604788392,0.0991248345456772
2015-05-19,0.09735951278373502,0.09784771604788392
2015-05-20,0.09718131675441913,0.09735951278373502
2015-05-21,0.09678878069048406,0.09718131675441913
2015-05-22,0.09613280640588841,0.09678878069048406
2015-05-26,0.10058664668933498,0.09613280640588841
2015-05-27,0.10397877781098323,0.10058664668933498
2015-05-28,0.10338640913416258,0.10397877781098323
2015-05-29,0.1051113946608426,0.10338640913416258
2015-06-01,0.0991898925583805,0.1051113946608426
2015-06-02,0.09591534438721494,0.0991898925583805
2015-06-03,0.09606270303924325,0.09591534438721494
2015-06-04,0.09837626844803554,0.09606270303924325
2015-06-05,0.09817111548619009,0.09837626844803554
2015-06-08,0.09933896450268506,0.09817111548619009
2015-06-09,0.09873209321649568,0.09933896450268506
2015-06-10,0.10454379409793903,0.09873209321649568
2015-06-11,0.10423985420241755,0.10454379409793903
2015-06-12,0.10241640571583664,0.10423985420241755
2015-06-15,0.09817299336203782,0.10241640571583664
2015-06-16,0.09916712990649204,0.09817299336203782
2015-06-17,0.09323485587477683,0.09916712990649204
2015-06-18,0.09667808150096512,0.09323485587477683
2015-06-19,0.09731566131394352,0.09667808150096512
2015-06-22,0.09086965589241047,0.09731566131394352
2015-06-23,0.0896354363478438,0.09086965589241047
2015-06-24,0.09187946298874422,0.0896354363478438
2015-06-25,0.09237306746521722,0.09187946298874422
2015-06-26,0.08712432989200182,0.09237306746521722
2015-06-29,0.10609513661104075,0.08712432989200182
2015-06-30,0.1057989317124021,0.10609513661104075
2015-07-01,0.10894762923530248,0.1057989317124021
2015-07-02,0.10894917730737946,0.10894762923530248
2015-07-06,0.1085594215340431,0.10894917730737946
2015-07-07,0.11042098226081935,0.1085594215340431
2015-07-08,0.11656675462813981,0.11042098226081935
2015-07-09,0.11275476867440361,0.11656675462813981
2015-07-10,0.11944059881514264,0.11275476867440361
2015-07-13,0.12279221307153802,0.11944059881514264
2015-07-14,0.12331037599474431,0.12279221307153802
2015-07-15,0.1232780088458479,0.12331037599474431
2015-07-16,0.125217674024616,0.1232780088458479
2015-07-17,0.12247200334241559,0.125217674024616
2015-07-20,0.1222868380175832,0.12247200334241559
2015-07-21,0.1213872257857648,0.1222868380175832
2015-07-22,0.12157907558651068,0.1213872257857648
2015-07-23,0.1180043093543591,0.12157907558651068
2015-07-24,0.12138845957268,0.1180043093543591
2015-07-27,0.12054115332126128,0.12138845957268
2015-07-28,0.12524971526778575,0.12054115332126128
2015-07-29,0.12583144080957304,0.12524971526778575
2015-07-30,0.1257642450772742,0.12583144080957304
2015-07-31,0.12209324866731984,0.1257642450772742
2015-08-03,0.1218083408581338,0.12209324866731984
2015-08-04,0.1208688489116437,0.1218083408581338
2015-08-05,0.12130490253393557,0.1208688489116437
2015-08-06,0.12179975530573323,0.12130490253393557
2015-08-07,0.12162656132851597,0.12179975530573323
2015-08-10,0.12718284718206824,0.12162656132851597
2015-08-11,0.11366071409150373,0.12718284718206824
2015-08-12,0.11358307004433434,0.11366071409150373
2015-08-13,0.1114237707091398,0.11358307004433434
2015-08-14,0.11181292399049385,0.1114237707091398
2015-08-17,0.11238936442635042,0.11181292399049385
2015-08-18,0.11152202998106261,0.11238936442635042
2015-08-19,0.10210175761227903,0.11152202998106261
2015-08-20,0.11982301696902002,0.10210175761227903
2015-08-21,0.14305244308833864,0.11982301696902002
2015-08-24,0.18211011546776146,0.14305244308833864
2015-08-25,0.18218542983983207,0.18211011546776146
2015-08-26,0.21840388782239348,0.18218542983983207
2015-08-27,0.2302484466458936,0.21840388782239348
2015-08-28,0.23017102864510816,0.2302484466458936
