Date,GARCH_ConditionalVol
2010-01-05,0.1541651452156439
2010-01-06,0.14215680443081383
2010-01-07,0.13122279773548365
2010-01-08,0.12361450748367045
2010-01-11,0.11623596980537737
2010-01-12,0.10886418172575714
2010-01-13,0.12151600932134568
2010-01-14,0.12322165161414853
2010-01-15,0.11542559659303205
2010-01-19,0.1330316761714913
2010-01-20,0.1437648424786951
2010-01-21,0.1502881271038729
2010-01-22,0.18943935554846236
2010-01-25,0.2283490613704777
2010-01-26,0.2088347801121839
2010-01-27,0.1924963821195722
2010-01-28,0.17711672710823517
2010-01-29,0.18012186164964772
2010-02-01,0.18084361880430685
2010-02-02,0.18957575796714704
2010-02-03,0.18697605610943843
2010-02-04,0.17452625027954524
2010-02-05,0.26032867204289545
2010-02-08,0.23554370760105328
2010-02-09,0.21959284669299092
2010-02-10,0.21270799606300209
2010-02-11,0.19403253927115463
2010-02-12,0.1869810305835455
2010-02-16,0.17083111745451826
2010-02-17,0.18256073219972527
2010-02-18,0.16843808349998432
2010-02-19,0.15750653198789297
2010-02-22,0.14482558851527175
2010-02-23,0.1336108090912117
2010-02-24,0.1493089623690002
2010-02-25,0.14734937243931134
2010-02-26,0.13646788356412243
2010-03-01,0.12628285318106997
2010-03-02,0.13217067095414306
2010-03-03,0.12316226807215622
2010-03-04,0.11476470830890619
2010-03-05,0.10844167304492106
2010-03-08,0.13305498165655302
2010-03-09,0.12338970767161472
2010-03-10,0.11507844304808271
2010-03-11,0.1102416863145572
2010-03-12,0.10582414821284807
2010-03-15,0.10002795282131227
2010-03-16,0.09506675100479273
2010-03-17,0.10147655105038624
2010-03-18,0.10151291462928586
2010-03-19,0.0966404020665012
2010-03-22,0.0995951497524938
2010-03-23,0.098873229021133
2010-03-24,0.10192918121614161
2010-03-25,0.10326655527512951
2010-03-26,0.09900589728855858
2010-03-29,0.09458150616762305
2010-03-30,0.0969491023307812
2010-03-31,0.09239973416615198
2010-04-01,0.0926562597316308
2010-04-05,0.09662907807535386
2010-04-06,0.10317305486227811
2010-04-07,0.09813264319477613
2010-04-08,0.10240260958852372
2010-04-09,0.09842986558810816
2010-04-12,0.10047577694219686
2010-04-13,0.09548993250259463
2010-04-14,0.09116713198377825
2010-04-15,0.11005641829596377
2010-04-16,0.10351767751499986
2010-04-19,0.14571680470546608
2010-04-20,0.13560667510386665
2010-04-21,0.13564492887748697
2010-04-22,0.12671211803603424
2010-04-23,0.11861309805482406
2010-04-26,0.11660071585284014
2010-04-27,0.11305730266192268
2010-04-28,0.19057998137190837
2010-04-29,0.1788968138559081
2010-04-30,0.17907637511624333
2010-05-03,0.19975141954052567
2010-05-04,0.19734546564314442
2010-05-05,0.23885732654013186
2010-05-06,0.22070341567330978
2010-05-07,0.2984031267556428
2010-05-10,0.28764355563106087
2010-05-11,0.37459195229008846
2010-05-12,0.33800268127614613
2010-05-13,0.31574235124918065
2010-05-14,0.2972195763435225
2010-05-17,0.2947163631798876
2010-05-18,0.2659971310383319
2010-05-19,0.2577759581500256
2010-05-20,0.23687993186612546
2010-05-21,0.3304845153478439
2010-05-24,0.310347290061689
2010-05-25,0.29338539711672407
2010-05-26,0.2648072585362308
2010-05-27,0.24341010989931827
2010-05-28,0.3010759287910977
2010-06-01,0.2849654172391562
2010-06-02,0.2813568503805547
2010-06-03,0.2996619625113082
2010-06-04,0.2708981397421673
2010-06-07,0.33860632275724467
2010-06-08,0.316825494590058
2010-06-09,0.2924692386030225
2010-06-10,0.26695116431285165
2010-06-11,0.30025301326053344
2010-06-14,0.27211889718513965
2010-06-15,0.24636717601028996
